title,description,url
"ABROD - Abroad, Study Term","Offered By:
Faculty of Graduate Studies and Research

Examinations and Timetabling",https://apps.ualberta.ca/catalogue/course/abrod
ACCTG - Accounting,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/acctg
ADMI - FSJ - Administration,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/admi
ADRAM - FSJ - Art dramatique,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/adram
"AFNS - Agricultural, Food and Nutritional Science","Offered By:
Faculty of Agricultural, Life and Environmental Sciences",https://apps.ualberta.ca/catalogue/course/afns
AGRMT - Agreement Formal (Registration),"Offered By:
Faculty of Graduate Studies and Research",https://apps.ualberta.ca/catalogue/course/agrmt
AIB - Alberta Institute Biomedicine,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/aib
"ALES - Agricultural, Life and Environmental Sciences","Offered By:
Faculty of Agricultural, Life and Environmental Sciences",https://apps.ualberta.ca/catalogue/course/ales
ALS - FSJ - Anglais langue seconde,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/als
AN SC - Animal Science,"Offered By:
Faculty of Agricultural, Life and Environmental Sciences",https://apps.ualberta.ca/catalogue/course/an_sc
ANAT - Anatomy,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/anat
ANATE - FSJ - Anatomie,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/anate
ANGL - FSJ - Anglais,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/angl
ANTHE - FSJ - Anthropologie,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/anthe
ANTHR - Anthropology,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/anthr
APPEX - FSJ - Apprentissage Expérientiel,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/appex
ARAB - Arabic,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/arab
AREC - Agricultural and Resource Economics,"Offered By:
Faculty of Agricultural, Life and Environmental Sciences",https://apps.ualberta.ca/catalogue/course/arec
ART - Art,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/art
ARTE - FSJ - Arts,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/arte
ASL - American Sign Language,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/asl
ASTRO - Astronomy,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/astro
AUACC - Augustana Faculty - Accounting,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auacc
AUART - Augustana Faculty - Art,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auart
AUBIO - Augustana Faculty - Biology,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aubio
AUCHE - Augustana Faculty - Chemistry,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auche
AUCLA - Augustana Faculty - Classical Studies,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aucla
AUCRI - Augustana Faculty - Crime and Community,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aucri
AUCSC - Augustana Faculty - Computing Science,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aucsc
AUCSL - Augustana Faculty - Community Service Learning,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aucsl
AUDRA - Augustana Faculty - Drama,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/audra
AUECO - Augustana Faculty - Economics,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aueco
AUEDC - Augustana Faculty - Educational Computing,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auedc
AUEFX - Augustana Faculty - Education Field Experience,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auefx
AUENG - Augustana Faculty - English,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aueng
AUENV - Augustana Faculty - Environmental Studies,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auenv
AUEPS - Augustana Faculty - Educational Psychology,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aueps
AUFAR - Augustana Faculty - Fine Arts,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aufar
AUFRE - Augustana Faculty - French,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aufre
AUGDS - Augustana Faculty - Global and Development Studies,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/augds
AUGEO - Augustana Faculty - Geography,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/augeo
AUGER - Augustana Faculty - German,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auger
AUHIS - Augustana Faculty - History,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auhis
AUHUM - Augustana Faculty - Humanities,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auhum
AUIDS - Augustana Faculty - Interdisciplinary Studies,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auids
AUIND - Augustana Faculty - Indigenous Studies,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auind
AULAN - Augustana Faculty - Language Studies,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aulan
AULAT - Augustana Faculty - Latin,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aulat
AUMAT - Augustana Faculty - Mathematics,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aumat
AUMGT - Augustana Faculty - Management,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aumgt
AUMUS - Augustana Faculty - Music,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aumus
AUPAC - Augustana Faculty - Physical Activity,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aupac
AUPED - Augustana Faculty - Physical Education,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auped
AUPHI - Augustana Faculty - Philosophy,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auphi
AUPHY - Augustana Faculty - Physics,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auphy
AUPOL - Augustana Faculty - Political Studies,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aupol
AUPSY - Augustana Faculty - Psychology,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aupsy
AUREL - Augustana Faculty - Religion,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aurel
AUSCA - Augustana Faculty - Scandinavian,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/ausca
AUSCI - Augustana Faculty - Science,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/ausci
AUSOC - Augustana Faculty - Sociology,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/ausoc
AUSPA - Augustana Faculty - Spanish,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auspa
AUSSC - Augustana Faculty - Social Sciences,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aussc
AUSTA - Augustana Faculty - Statistics,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/austa
B LAW - Business Law,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/b_law
BIOCH - Biochemistry,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/bioch
BIOCM - FSJ - Biochimie,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/biocm
BIOEN - Bioresource Engineering,"Offered By:
Faculty of Agricultural, Life and Environmental Sciences",https://apps.ualberta.ca/catalogue/course/bioen
BIOIN - Bioinformatics,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/bioin
BIOL - Biology,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/biol
BIOLE - FSJ - Biologie,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/biole
BIOPH - Biophysics,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/bioph
BME - Biomedical Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/bme
BOT - Botany,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/bot
BTM - Business Technology Management,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/btm
BUEC - Business Economics,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/buec
BUS - Business,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/bus
C LIT - Comparative Literature,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/c_lit
CATS - Creative Arts Therapies,"Offered By:
St Stephen's College",https://apps.ualberta.ca/catalogue/course/cats
CCALS - CCA - Anglais Langue Seconde,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/ccals
CEDUL - FSJ - Certificat Éducation Leadership,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/cedul
CELL - Cell Biology,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/cell
CH E - Chemical Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/ch_e
CHEM - Chemistry,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/chem
CHIM - FSJ - Chimie,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/chim
CHINA - Chinese,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/china
CHRTC - Christian Theology at St Joseph's College,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/chrtc
CHRTP - Christian Theology at St Stephen's College,"Offered By:
St Stephen's College",https://apps.ualberta.ca/catalogue/course/chrtp
CIV E - Civil Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/civ_e
CLASS - Classics,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/class
CME - Chemical and Materials Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/cme
CMPUT - Computing Science,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/cmput
COMM - Communications and Technology,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/comm
CSD - Communication Sciences and Disorders,"Offered By:
Faculty of Rehabilitation Medicine",https://apps.ualberta.ca/catalogue/course/csd
CSL - Community Service-Learning,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/csl
CSSE - FSJ - Certificat Supérieur Sciences de l'Éducation,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/csse
D HYG - Dental Hygiene,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/d_hyg
DA - Dental Assisting,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/da
DAC - Dance Activity,"Offered By:
Faculty of Kinesiology, Sport, and Recreation",https://apps.ualberta.ca/catalogue/course/dac
DANCE - Dance,"Offered By:
Faculty of Kinesiology, Sport, and Recreation",https://apps.ualberta.ca/catalogue/course/dance
DDS - Dentistry,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/dds
DENT - Dentistry,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/dent
DES - Design,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/des
DET - FSJ - Doctorat en Études Transdisciplinaires,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/det
DEVDU - FSJ - Developpement Durable,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/devdu
DH - Digital Humanities,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/dh
DRAMA - Drama,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/drama
EAP - English for Academic Purposes,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/eap
EAS - Earth and Atmospheric Sciences,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/eas
EASIA - East Asian Studies,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/easia
ECE - Electrical and Computer Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/ece
ECON - Economics,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/econ
ECONE - FSJ - Economie,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/econe
EDCT - Education - Career Technology Studies,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edct
EDEL - Education - Elementary,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edel
EDES - Education - Elementary and Secondary,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edes
EDFX - Education - Field Experience,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edfx
